"Pl_HostName","Pl_Letter","Pl_Name","Pl_DiscoveryMethod","Pl_DiscoveryYear","Pl_OrbitalPeriod","Pl_SemiMajorAxis","Pl_Eccentricity","Pl_MassEarth","Pl_RadiusEarth","Pl_Density","Pl_EquilibriumTemp","Pl_InsolationFlux","Pl_NumStars","St_Distance","St_OpticalMagnitude","St_SpectralType","St_EffectiveTemp","St_SurfaceGravity","St_Luminosity","St_MassSolar","St_RadiusSolar","St_Metallicity","St_MetallicityRatio","St_Age"
"KIC 9663113","b","KIC 9663113 b","Transit",2015,572.3847,NA,NA,19.2,4.6,1.08,NA,3.36,1,1594.34,13.907,"",6065,4.42,0.755,0.98,1.03,-0.28,"[Fe/H]",NA
"KMT-2016-BLG-1397L","b","KMT-2016-BLG-1397L b","Microlensing",2018,NA,5.1,NA,2224.81,12.7,5.97,NA,NA,1,6600,NA,"",NA,NA,NA,0.45,NA,NA,"",NA
"KMT-2016-BLG-1820L","b","KMT-2016-BLG-1820L b","Microlensing",2018,NA,1.08,NA,1452.4831,12.9,3.72,NA,NA,1,6260,NA,"",NA,NA,NA,0.04,NA,NA,"",NA
"KMT-2016-BLG-2142L","b","KMT-2016-BLG-2142L b","Microlensing",2018,NA,0.83,NA,4923.1867,12.2,14.9,NA,NA,1,7010,NA,"",NA,NA,NA,0.07,NA,NA,"",NA
"KOI-12","b","KOI-12 b","Transit",2015,17.85523,0.151,0.72,1690.8556,17.262,1.81,NA,196.51,1,426,11.253,"",6820,4.34,0.574,1.82,1.75,0.09,"[Fe/H]",1.45
"KOI-1257","b","KOI-1257 b","Transit",2014,86.647661,0.382,0.772,460.83,10.54,2.1,511,NA,2,900,14.867,"G5 V",5520,4.32,0.029,0.99,1.13,0.27,"[Fe/H]",9.3
"KOI-13","b","KOI-13 b","Transit",2011,1.763588,0.03641,0.00064,2949.4624,16.948,3.6,2550,25339.9,3,415,9.958,"",7650,4.2,0.971,1.72,1.74,0.2,"[Fe/H]",1.12
"KOI-142","b","KOI-142 b","Transit",2013,10.95416,NA,0.05593,8.7,3.78,0.87,NA,68.56,1,339,13.11,"G6 V",5471,4.53,-0.223,0.96,0.88,0.2,"[Fe/H]",2.2
"KOI-142","c","KOI-142 c","Transit Timing Variations",2013,22.3395,0.15525,0.05628,198.8,14.1,0.39,NA,NA,1,339,13.11,"G6 V",5471,4.53,-0.223,0.96,0.88,0.2,"[Fe/H]",2.2
"KOI-217","b","KOI-217 b","Transit",2010,3.90512,0.0477,0,NA,12.442,NA,NA,272.03,1,800,15.101,"",5545,4.53,-0.209,0.95,0.86,0.12,"[Fe/H]",1.7
"KOI-351","b","KOI-351 b","Transit",2013,7.008151,0.074,NA,2.27,1.31,5.55,NA,316.44,1,780,13.74,"",6080,4.4,0.25,1.2,1.2,-0.12,"[M/H]",NA
"KOI-351","c","KOI-351 c","Transit",2013,8.719375,0.089,NA,1.81,1.19,5.9,NA,236.31,1,780,13.74,"",6080,4.4,0.25,1.2,1.2,-0.12,"[M/H]",NA
"KOI-351","d","KOI-351 d","Transit",2013,59.73667,0.32,NA,8.6,2.87,2,NA,18.17,1,780,13.74,"",6080,4.4,0.25,1.2,1.2,-0.12,"[M/H]",NA
